Country,Front,Year,Soldiers_Deployed,Casualties,Battles_Fought,Victory_Rate,Military_Spending_USD_Million,Allied_Support_Index
France,Africa,1939,4579125,67234,117,0.68,20661,2.5
UK,Africa,1941,4349913,1613818,54,0.38,17034,5.8
USSR,Europe,1941,4522201,179352,118,0.26,14110,1.7
France,Africa,1941,1179600,1129035,3,0.3,83035,0.3
Japan,Western,1942,1125715,410995,144,0.3,84106,3.1
China,Pacific,1944,1538533,196004,185,0.31,43353,7.8
USSR,Pacific,1939,2381230,467152,12,0.3,59257,2.8
USSR,Europe,1942,3603157,1991546,74,0.68,75096,2.2
France,Eastern,1941,561243,1774832,16,0.34,29337,2.1
Germany,Europe,1939,2158852,1108739,102,0.46,93759,5.2
Japan,Eastern,1942,3359360,1525429,152,0.87,39761,9.8
France,Pacific,1944,2085588,52934,156,0.56,12004,4.6
Japan,Europe,1942,351451,1769831,117,0.7,73390,5.6
Japan,Western,1944,4297355,426523,8,0.33,72151,8.6
China,Africa,1941,1852683,841530,122,0.34,71570,5.4
USSR,Eastern,1944,1104646,1503713,92,0.23,87112,1.8
UK,Africa,1939,1071525,6486,164,0.33,18624,3
China,Africa,1941,3967500,1188983,90,0.41,9234,3.1
China,Europe,1939,4483711,874332,136,0.33,19146,4
Japan,Africa,1943,549395,1699884,186,0.27,67778,4.3
Italy,Western,1940,1360386,1040458,60,0.29,34066,8
USSR,Africa,1944,3154390,1676659,178,0.55,11296,3.5
Germany,Europe,1940,3479569,221184,28,0.35,45608,4.7
China,Western,1940,3000603,667490,101,0.47,18431,6.2
UK,Pacific,1944,3067197,1399228,41,0.58,36505,3.8
Italy,Africa,1941,322866,1810891,192,0.72,92313,8.4
Italy,Europe,1943,1235248,1692188,155,0.23,4068,5.9
Germany,Pacific,1939,1746711,323710,191,0.8,11352,2.9
China,Pacific,1942,1523286,198775,145,0.67,67556,7.1
UK,Eastern,1939,3795961,290336,161,0.26,41207,5.3
USSR,Western,1942,3277945,788494,157,0.86,54967,5.3
USA,Africa,1939,3513821,1657940,141,0.89,92788,4.8
UK,Europe,1944,283062,1139356,46,0.25,96696,5
Germany,Eastern,1943,2591518,1202193,35,0.41,83172,7.7
Italy,Western,1942,2941992,546977,134,0.8,24569,1
USSR,Eastern,1945,4394539,1847182,82,0.76,96859,3.3
UK,Western,1941,3320468,1400181,115,0.34,87537,0.8
USA,Western,1939,903328,913606,197,0.36,56869,7.5
USA,Africa,1939,4162958,890465,47,0.48,80960,2.7
Japan,Western,1942,1143233,534636,153,0.56,71374,9
Japan,Eastern,1941,1811741,942218,194,0.66,5458,5.3
France,Western,1941,629525,39102,10,0.48,59429,8
Germany,Africa,1944,276615,75460,56,0.55,25103,9.8
China,Africa,1945,4481932,1414354,30,0.76,9496,8.4
UK,Eastern,1944,2835988,1139506,109,0.23,972,8.7
UK,Pacific,1944,4701020,1580665,5,0.39,98773,4.1
China,Pacific,1944,3799391,1677014,119,0.74,51406,5.5
France,Western,1944,641252,1777203,33,0.87,10839,2.5
Italy,Europe,1944,1786293,180208,118,0.58,97770,2
Italy,Western,1943,3712610,1204273,65,0.6,66706,5.1
France,Eastern,1941,2264367,214945,146,0.28,44078,6
Italy,Eastern,1944,2004050,232915,177,0.54,64534,3.4
Japan,Eastern,1941,244356,728952,11,0.6,32204,5.7
UK,Eastern,1941,4498165,209124,85,0.38,82920,8.9
France,Eastern,1940,3199320,438477,26,0.4,2386,5.6
UK,Africa,1943,455612,526830,63,0.48,67829,7.2
China,Pacific,1944,3700333,1333397,86,0.22,19079,8.1
USA,Eastern,1939,109435,1227380,59,0.44,59251,9.9
Japan,Europe,1942,4741860,1755279,27,0.36,32315,6
USSR,Europe,1945,1848014,40081,177,0.45,43922,8.1
Japan,Europe,1939,3821309,719216,161,0.29,46247,9.6
France,Europe,1943,4373085,356249,98,0.87,55230,9.4
USSR,Africa,1942,2388627,1269506,105,0.65,23760,1.4
USA,Europe,1943,864121,806497,99,0.71,29536,4.1
France,Eastern,1941,1269748,518313,129,0.79,71957,3.2
Germany,Western,1942,3602630,1264108,149,0.57,71945,0.9
